name,Affiliation,Citations
george saon,IBM,5765
guillermo cecchi,IBM Research,5666
claudio pinhanez,IBM Research - Brazil,4194
rama akkiraju,IBM,4098
achille fokoue,IBM Research,3153
david martinez iraola,IBM Research Australia,3127
prithviraj sen,IBM Research,2825
antonio jimeno yepes,IBM Research,2571
david konopnicki,IBM Research AI,1463
yonatan bilu,IBM,1103
zoltán tüske,IBM Research AI,1064
kartik talamadupula,IBM Research,980
oren melamud,IBM,965
tahira naseem,IBM,630
md faisal mahbub chowdhury,IBM Research AI,504
ateret anaby-tavor,IBM Watson Group,442
giacomo domeniconi,IBM Research,248
inkit padhi,IBM Research,242
yasaman khazaeni,IBM,218
yousef el-kurdi,IBM Research,177
elaheh shafieibavani,IBM Research,125
rishav chakravarti,IBM Watson,121
zhuoxuan jiang,IBM Research,92
shreya khare,IBM Research AI,87
kshitij fadnis,IBM Research AI,64
yoav kantor,IBM,45
nicolas rodolfo fauceglia,IBM Research AI,43
deval mehta,IBM Research Australia,19
abhirut gupta,IBM Research,6
utkarsh desai,IBM Research,2
yanchun zhang,Victoria University,7152
gábor borbély,BME,20
swapna somasundaran,ETS,2130
jonathan mamou,Intel Corporation,1773
marc'aurelio ranzato,Facebook,26043
matthijs douze,Facebook,12631
alexis conneau,Facebook,4212
hassan sawaf,Facebook,1679
ledell wu,Facebook,859
yangyang shi,Facebook,801
jack urbanek,Facebook,385
rajen subba,Facebook,340
kurt shuster,Facebook,296
junting ye,Facebook,250
chunxi liu,Facebook,196
eugene kharitonov,Facebook,186
guillaume wenzek,Facebook,176
stanislav peshterliev,Facebook,126
bora edizel,Facebook,36
davide testuggine,Facebook,5
alistair conkie,Apple,3411
rajen chatterjee,Apple Inc,1696
björn hoffmeister,Apple,1362
daben liu,Apple Inc.,1268
ilya oparin,Apple,717
siddharth sigtia,Apple Inc.,606
matthias sperber,Apple,438
christophe van gysel,Apple,311
ahmed hussen abdelaziz,Apple,253
pranay dighe,Apple,244
xavier suau,Apple Inc.,179
sarthak garg,Apple Inc.,30
deepak muralidharan,Apple,10
raviteja anantha,Apple Inc,2
nick craswell,Microsoft,11688
timothy j. hazen,Microsoft,4994
takuya yoshioka,Microsoft,3935
milad shokouhi,Microsoft,2547
marcin junczys-dowmunt,Microsoft,1818
bamdev mishra,Microsoft,1303
michele tufano,Microsoft,921
naoyuki kanda,Microsoft,574
pratik jawanpuria,Microsoft,194
yadollah yaghoobzadeh,Microsoft,192
thomas manzini,Microsoft,96
nuo wang pierse,Microsoft,68
lee xiong,Microsoft,3
jonathan le roux,MERL,5753
gordon wichern,MERL,461
niko moritz,MERL,431
hans-martin will,SAP,89
oumaima oueslati,Ph.D,3
kishore papineni,Google,14554
yossi matias,Google,13885
kenton lee,Google,13451
richard sproat,Google,11710
donald metzler,Google,8897
marc najork,Google,8729
abe ittycheriah,Google,4429
radu soricut,Google,3656
idan szpektor,Google,3594
trevor strohman,Google,3196
aliaksei severyn,Google,3028
vincent wan,Google,2625
olivier siohan,Google,2367
emily pitler,Google,2286
kartik audhkhasi,Google,1596
katja filippova,Google,1465
hank liao,Google,1326
luheng he,Google,1179
chris alberti,Google,1074
ehsan variani,Google,986
neil houlsby,Google,985
shashi narayan,Google,847
niranjan subrahmanya,Google,572
sascha rothe,Google,531
benjamin borschinger,Google,445
benjamin börschinger,Google,445
michal lukasik,Google,367
roee aharoni,Google,358
joshua r. wang,Google,339
lucy vasserman,Google,338
rushin shah,Google,308
jasmijn bastings,Google,294
ben goodrich,Google,244
guillermo garrido,Google,235
alexander gutkin,Google,194
tom bagby,Google,163
jennimaria palomaki,Google,159
tomer levinboim,Google,137
yuan shangguan,Google,133
aditya siddhant,Google,86
kensen shi,Google,55
daan van esch,Google,53
joshua maynez,Google,29
justin s. paul,Google,26
zarana parekh,Google,13
mihir kale,Google,6
constanza fierro,Google,5
subhabrata dutta,Department of Computer Science and Engineering,9
ngan luu-thuy nguyen,University of Information Technology,1072
kenji imamura,National Institute of Information and Communications Technology,959
tin van huynh,University of Information Technology,3
hang thi-thuy do,University of Information Technology,2
estefanía cano,Research Scientist,307
ching-feng yeh,Research Scientist,268
ernest mwebaze,Research Scientist,260
deshraj yadav,Tesla,742
emiru tsunoo,Sony Corp.,253
bart desmet,National Institutes of Health,672
daniel c. elton,National Institutes of Health,284
gokce keskin,Intel,339
amanda stent,Researcher,5259
tim z. xiao,Student,7
rylan conway,Amazon,62528
william m. campbell,Amazon,7810
katrin kirchhoff,Amazon,4741
angeliki metallinou,Amazon,1685
zohar karnin,amazon,1060
roee litman,Amazon,803
pushpendre rastogi,Amazon,713
maarten van segbroeck,Amazon,711
kainan peng,Amazon,700
jaime lorenzo-trueba,Amazon,527
amber roy chowdhury,Amazon,476
raefer gabriel,Amazon,472
jialong han,Amazon,397
giuseppe castellucci,Amazon,358
luca soldaini,Amazon,288
maryam fazel-zarandi,Amazon,259
behnam hedayatnia,Amazon,232
marco damonte,Amazon,192
anil ramakrishna,Amazon,126
chengwei su,Amazon,92
marius cotescu,Amazon,88
lahari poddar,Amazon,56
shaoshi ling,Amazon,28
shubham kapoor,Amazon,18
siamak shakeri,Amazon,16
daniel korzekwa,Amazon,9
mateusz lajszczak,Amazon,6
shubhi tyagi,Amazon,2
ali sabet,Professor,418
fadl mutaher ba-alwi,Professor,193
lara lloret iglesias,CSIC,118268
alexey svyatkovskiy,"Microsoft, Princeton University, Purdue University ",112992
minhwa chung,"Research fellow, Chung-Ang University ",102727
eric horvitz,Microsoft Research,73273
tomas mikolov,"Senior Researcher, CIIRC CTU ",71338
dieter fox,"Professor of Computer Science and Engineering, University of Washington, and Nvidia … ",66230
richard socher,Chief Scientist at Salesforce,61677
wei-ying ma,"Toutiao, Bytedance ",50518
oren etzioni,"CEO, Allen Institute for AI (AI2) ",38591
lukasz kaiser,Google Brain & CNRS,38163
h. v. jagadish,,37850
samy bengio,"Research Scientist, Google Brain ",36726
steffen staab,"WAIS, University of Southampton, UK & Analytic Computing, Universität Stuttgart, DE & ",35072
martin wattenberg,Google Research,35014
ron j. weiss,Google Research,33986
laurens van der maaten,"Research Director, Facebook AI Research ",33500
eric xing,"Professor of Machine Learning, Language Technology, Computer Science, Cargenie Mellon … ",31866
nitesh v. chawla,"Frank Freimann Professor of Computer Science & Engg., Notre Dame ",31456
nitesh chawla,"Frank Freimann Professor of Computer Science & Engg., Notre Dame ",31456
björn schuller,"Professor of AI, Imperial College London & University of Augsburg & CSO, audEERING ",31319
bjoern schuller,"Professor of AI, Imperial College London & University of Augsburg & CSO, audEERING ",31319
pierre sermanet,"Research Scientist, Google ",30646
lionel briand,"Professor, EECS, University of Ottawa, Canada and SnT Centre, University of Luxembourg ",29439
yoav shoham,Professor (emeritus),29307
pushmeet kohli,DeepMind,29096
ram nevatia,,28749
wu xindong,Mininglamp Academy of Sciences; Hefei University of Technology,27080
xindong wu,Mininglamp Academy of Sciences; Hefei University of Technology,27080
mary czerwinski,Microsoft Research,26463
alexander tuzhilin,"Professor of Information Systems, NYU ",26155
ronan collobert,Facebook AI Research,25749
pramod viswanath,"Gilmore Family Endowed Professor of Electrical and Computer Engineering, University of … ",25496
andreas stolcke,"Sr. Principal Scientist, Amazon and ICSI ",25205
tie-yan liu,"Assistant Managing Director, Microsoft Research Asia; IEEE Fellow, ACM Distinguished … ",24451
wen-mei hwu,"Professor and Sanders-AMD Chair of Electrical and Computer Engineering, University of … ",23525
danielle s. bassett,"J. Peter Skirkanich Professor, University of Pennsylvania & Santa Fe Institute ",23193
young-bum kim,Amazon Alexa Brain,23167
claude berrou,"Professeur, Télécom Bretagne, Institut Mines-Télécom ",22978
holger schwenk,"Research scientist, Facebook, and professor of Computer Science ",22676
tatiana likhomanenko,Facebook AI Research,21221
rommert dekker,Professor of Quantitative Logistics and Operations Research,21196
kristin l. wood,"Professor, Founding Head of Engr Prod Devel Pillar, & co-Dir SUTD-MIT IDC ",20403
chin-yew lin,"Principal Research Manager of Knowledge Computing Group, Microsoft Research Asia ",19770
antoine bordes,Director / Facebook AI Research,19679
haixun wang,VP of Engineering & Distinguished Scientist at WeWork,19444
junichi tsujii,"Artificial Intelligence Research Center, AIST ",18598
hynek hermansky,"Julian S. Smith Professor in Electrical Engineering, The Johns Hopkins University ",18255
kristina toutanova,Google Research,17930
brian kingsbury,"Distinguished Research Staff Member and Manager, IBM TJ Watson Research Center … ",17177
jan kautz,NVIDIA Research,16824
emmanuel dupoux,"Professor of Cognitive Psychology, Ecole des Hautes Etudes en Sciences Sociales, Paris ",16681
luke zettlemoyer,University of Washington; Facebook,16674
hervé jégou,Facebook AI Research,16572
haizhou li,"Professor, Department of Electrical & Computer Engineering, National University of … ",15570
noam shazeer,Google Inc.,15401
masashi sugiyama,"Director, RIKEN Center for Advanced Intelligence Project / Professor, The University of … ",15276
marc g. bellemare,Google Brain,14961
wubo li,"FMC Technologies, North America Technology Center ",14776
meredith ringel morris,"Sr. Principal Researcher and Research Manager, Microsoft Research ",14696
ryen w. white,"Partner Research Manager, Microsoft ",14635
jungang xu,"Associate Professor, School of Computer and Control Engineering,University of Chinese … ",14536
xuemin lin,UNSW Scientia Professor,14282
anton van den hengel,"Director, Australian Institute for Machine Learning, UoA , Director of Applied Science … ",13993
yuri gurevich,"Principal Researcher, Microsoft Research ",13786
bidyut baran chaudhuri,"INAE Distinguished Professor and JC Bose Fellow, Indian Statistical Institute ",13761
peter sheridan dodds,"Professor, Computational Story Lab, Center for Complex Systems, Math/Stats, University of … ",13548
claude roux,"Professor of Forensic Science, Director Centre for Forensic Science, University of … ",13532
jamie kiros,Google Research,13442
marcus rohrbach,"Research Scientist, Facebook AI Research ",13361
david s. rosenblum,Provost's Chair Professor and Director of the NUS-Singtel Cyber Security R&D Laboratory,13326
jakob uszkoreit,"Google, Inc. ",13175
jakob verbeek,Facebook AI Research,13037
armand joulin,"Research Scientist, Facebook AI Research ",12957
lidong zhou,Microsoft Research,12859
michael picheny,NYU - Courant CS and CDS,12611
gérard huet,Directeur de Recherche Emérite Inria,12160
wen-tau yih,Facebook AI Research,12028
steven c. h. hoi,Managing Director of Salesforce Research Asia; IEEE Fellow; Assoc Professor at SMU,11876
chris welty,Google Research,11741
dilek hakkani-tur,Amazon Alexa AI,11682
david s. ebert,"Silicon Valley Professor of ECE, Purdue University ",11516
owen rambow,Elemental Cognition,11474
ioannis kompatsiaris,"Senior Researcher, Information Technologies Institute, CERTH ",11315
byoung-tak zhang,"Professor of Computer Science, Cognitive Science, and Brain Science, Seoul National … ",11258
j. nathan kutz,Professor of Applied Mathematics,11183
moshe tennenholtz,,10658
arthur szlam,Facebook AI Research,10465
alessandro moschitti,Principal Scientist at Amazon Alexa,9889
raia hadsell,Google DeepMind,9712
hongfang liu,"Professor of Biomedical Informatics, Mayo Clinic ",9635
gokhan tur,Amazon Alexa AI,9625
emmanuel lagarde,INSERM,9520
aaron van den oord,Google DeepMind,9489
xin luna dong,"Principal Scientist, Amazon ",9339
minh-thang luong,Senior Research Scientist at Google,9315
wang-chiew tan,Megagon Labs (was Recruit Institute of Technology),9259
bhuvana ramabhadran,"Manager, Google ",9238
bryan russell,"Researcher, Adobe ",9104
furu wei,"Senior Principal Research Manager, Microsoft Research ",9102
alexander m. rush,"Associate Professor, Cornell University ",8987
mauricio barahona,"Imperial College London, Dept of Mathematics, Chair in Biomathematics ",8939
yixian zhang,,8897
